id	name	str	icon
1030229	防具用強化輔助石-A級組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030230	結晶型古文 3級-5小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030231	羽毛古文 24小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030232	靈活思緒卷軸 3張	a,	br_cashtex.item.br_cash_scroll_of_greater_acumen_i00
1030233	吸血怒擊卷軸 3張	a,	br_cashtex.item.br_cash_scroll_of_vampiric_rage_i00
1030234	速度激發卷軸 3張	a,	br_cashtex.item.br_cash_scroll_of_haste_i00
1030235	澄澈思緒卷軸 3張	a,	br_cashtex.item.br_cash_scroll_of_clarity_i00
1030236	魔力催化卷軸 3張	a,	br_cashtex.item.br_cash_scroll_of_empower_i00
1030237	煉獄龍獸變身卷軸	a,	icon.etc_trans_4f_s_b_01
1030238	獨角獸變身卷軸	a,	icon.etc_trans_4f_s_b_01
1030239	莉莉恩騎士變身卷軸	a,	icon.etc_trans_4f_s_b_01
1030240	死亡之刃變身卷軸	a,	icon.etc_trans_4f_s_b_01
1030241	高崙守護者變身卷軸	a,	icon.etc_trans_4f_s_b_01
1030242	暴烈龍變身卷軸	a,	icon.etc_trans_4f_s_b_01
1030243	門徒聖杯變身卷軸	a,	icon.etc_trans_4f_s_b_01
1030244	超強力瞬間體力治癒藥水組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030245	瞬間回復體力藥水	a,	icon.etc_potion_red_i00
1030246	瞬間回復魔力藥水	a,	icon.etc_potion_purpel_i00
1030247	瞬間回復魔力藥水	a,	icon.etc_potion_purpel_i00
1030248	祝福的返回卷軸	a,	icon.etc_scroll_of_return_i01
1030249	祝福的復活卷軸	a,	icon.etc_scroll_of_resurrection_i01
1030250	香甜水果雞尾酒	a,	icon.etc_fruit_cocktail_i00
1030251	爽口水果雞尾酒	a,	icon.etc_fruit_cocktail_i01
1030252	學院制服A	a,	Schoollook_As.Br_schoollook
1030253	學院制服B	a,	Schoollook_As.Br_schoollook
1030254	聖誕禮服	a,	Branchsys3.icon1.armor_ev_santas_clothes
1030255	泳裝派對A	a,	BranchSys3.icon1.g_co_swimsuit_event_01
1030256	泳裝派對B	a,	BranchSys3.icon1.g_co_swimsuit_event_02
1030257	泳裝派對C	a,	BranchSys3.icon1.g_co_swimsuit_event_03
1030258	泳裝派對D	a,	BranchSys3.icon1.g_co_military_undwrwear
1030259	泳裝派對E	a,	BranchSys3.icon1.g_co_premium_underwear
1030260	泳裝派對F	a,	BranchSys3.icon1.g_co_sexy_underwear
1030261	泳裝派對G	a,	BranchSys3.icon1.g_co_sf_underwear_01
1030262	泳裝派對H	a,	BranchSys3.icon1.g_co_maid_underwear_f01
1030263	經驗加倍藥水20%	a,	icon.etc_earth_potion_i00
1030264	經驗加倍藥水50%	a,	icon.etc_earth_potion_i00
1030265	武器用強化輔助石-D級	a,	icon.ench_wp_stone_i00
1030266	武器用強化輔助石-C級	a,	icon.ench_wp_stone_i01
1030267	武器用強化輔助石-B級	a,	icon.ench_wp_stone_i02
1030268	武器用強化輔助石-A級	a,	icon.ench_wp_stone_i03
1030269	武器用強化輔助石-S級	a,	icon.ench_wp_stone_i04
1030270	防具用強化輔助石-D級	a,	icon.ench_am_stone_i00
1030271	防具用強化輔助石-C級	a,	icon.ench_am_stone_i01
1030272	防具用強化輔助石-B級	a,	icon.ench_am_stone_i02
1030273	防具用強化輔助石-A級	a,	icon.ench_am_stone_i03
1030274	防具用強化輔助石-S級	a,	icon.ench_am_stone_i04
1030275	30分鐘活力維持藥水	a,	icon.etc_lesser_potion_blue_i00
1030276	活力充能藥水 15個/組	a,	icon.etc_pi_gift_box_i00
1030277	武器強化卷軸組-D級	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030278	武器強化卷軸組-C級	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030279	武器強化卷軸組-B級	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030280	武器強化卷軸組-A級	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030281	武器強化卷軸組-S級	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030282	防具強化卷軸組-D級	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030283	防具強化卷軸組-C級	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030284	防具強化卷軸組-B級	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030285	防具強化卷軸組-A級	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030286	防具強化卷軸組-S級	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030287	捕魚證	a,	icon.etc_ticket_i00
1030288	貴族憑證	a,	icon.etc_nutrients_of_cupid_i00
1030289	經驗值古文 50% 5小時/組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030290	破滅武器強化卷軸-S級	a,	icon.etc_blessed_scrl_of_ench_wp_s_i05
1030291	破滅防具強化卷軸-S級	a,	icon.etc_blessed_scrl_of_ench_am_s_i05
1030292	破滅武器強化卷軸-A級    	a,	icon.etc_blessed_scrl_of_ench_wp_a_i04
1030293	破滅防具強化卷軸-A級    	a,	icon.etc_blessed_scrl_of_ench_am_a_i04
1030294	破滅武器強化卷軸-B級   	a,	icon.etc_blessed_scrl_of_ench_wp_b_i03
1030295	破滅防具強化卷軸-B級    	a,	icon.etc_blessed_scrl_of_ench_am_b_i03
1030296	破滅武器強化卷軸-C級    	a,	icon.etc_blessed_scrl_of_ench_wp_c_i02
1030297	破滅防具強化卷軸-C級    	a,	icon.etc_blessed_scrl_of_ench_am_c_i02
1030298	破滅武器強化卷軸-D級    	a,	icon.etc_blessed_scrl_of_ench_wp_d_i01
1030299	破滅防具強化卷軸-D級    	a,	icon.etc_blessed_scrl_of_ench_am_d_i01
1030300	祝福的沃夫襯衫強化卷軸6張組	a,	BranchSys2.icon.etc_scroll_of_enchant_shirt_i00
1030301	祝福的沃夫襯衫強化卷軸14張組	a,	BranchSys2.icon.etc_scroll_of_enchant_shirt_i00
1030302	安塔瑞斯耳環(商城)	a,	icon.accessory_earring_of_antaras_i00
1030303	巴溫戒指(商城)	a,	icon.accessory_ring_of_baium_i00
1030304	巨蟻女王戒指(商城)	a,	icon.accessory_ring_of_queen_ant_i00
1030305	札肯耳環(商城)	a,	icon.accessory_earring_of_zaken_i00
1030306	血腥祝典斗篷組	a,	BranchSys.icon.br_four_leaf_clover_box_i00
1030307	整形藥水-A	u,改變成臉型A的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_purple_i00
1030308	整形藥水-B	u,改變成臉型B的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_purple_i00
1030309	整形藥水-C	u,改變成臉型C的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_purple_i00
1030310	染髮藥水-A	u,改變成髮色A的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_scarlet_i00
1030311	染髮藥水-B	u,改變成髮色B的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_scarlet_i00
1030312	染髮藥水-C	u,改變成髮色C的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_scarlet_i00
1030313	染髮藥水-D	u,改變成髮色D的美麗藥水，男女共用的物品。闇天使無法使用。\0	icon.etc_lesser_potion_scarlet_i00
1030314	造型藥水-A	u,改變成髮型A的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_green_i00
1030315	造型藥水-B	u,改變成髮型B的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_green_i00
1030316	造型藥水-C	u,改變成髮型C的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_green_i00
1030317	造型藥水-D	u,改變成髮型D的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_green_i00
1030318	造型藥水-E	u,改變成髮型E的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_green_i00
1030319	造型藥水-F	u,改變成髮型F的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_green_i00
1030320	造型藥水-G	u,改變成髮型G的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_green_i00
1030321	造型藥水-H	u,改變成髮型H的美麗藥水，女性專用的物品。\0	icon.etc_lesser_potion_green_i00
1030322	造型藥水-I	u,改變成髮型I的美麗藥水，女性專用的物品。\0	icon.etc_lesser_potion_green_i00
1030323	造型藥水-J	u,改變成髮型J的美麗藥水，闇天使女性專用的物品。\0	icon.etc_lesser_potion_green_i00
1030324	整形藥水-D	u,改變成臉型D的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_purple_i00
1030325	整形藥水-E	u,改變成臉型E的美麗藥水，男女共用的物品。\0	icon.etc_lesser_potion_purple_i00
1030326	新羅之珠-B	u,拿去交給維他命管理者的話，就能將B級一般道具交換成稀有道具。\0	icon.etc_warding_orb_blue_i00
1030327	新羅之珠-A	u,拿去交給維他命管理者的話，就能將A級一般道具交換成稀有道具。\0	icon.etc_warding_orb_green_i00
1030328	新羅之珠-S	u,拿去交給維他命管理者的話，就能將S級一般道具交換成稀有道具。\0	icon.etc_warding_orb_red_i00
1030329	新羅之珠-S80	u,拿去交給維他命管理者的話，就能將S80級一般道具交換成稀有道具。\0	icon.etc_warding_orb_black_i00
1030330	新羅之珠-S84	u,拿去交給維他命管理者的話，就能將S84級一般道具交換成稀有道具。\0	BranchSys2.icon.etc_warding_orb_gold_i00
1030331	進階型米索莉手鐲	u,裝備時，可啟用護身符欄位四格。MP最大值提升120。\0	icon.etc_rbracelet_s_i03
1030332	粉紅色護身符-STR	u,使用時，將提升力量2點。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030333	粉紅色護身符-DEX	u,使用時，將提升敏捷2點。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030334	粉紅色護身符-CON	u,使用時，將提升體質2點。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030335	粉紅色護身符-INT	u,使用時，將提升智力2點。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030336	粉紅色護身符-WIT	u,使用時，將提升精神2點。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030337	粉紅色護身符-MEN	u,使用時，將提升智慧2點。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030338	粉紅色護身符-衝擊抗性	u,使用時，將提升衝擊抗性15。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030339	粉紅色護身符-睡眠抗性	u,使用時，將提升睡眠抗性15。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030340	粉紅色護身符-束縛抗性	u,使用時，將提升束縛抗性15。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030341	粉紅色護身符-麻痺抗性	u,使用時，將提升麻痺抗性15。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030342	粉紅色護身符-全屬性提升	u,使用時，將提升全部屬性1點。就算裝備同樣的護身符也只發揮裝備一個的效果。無法交易或丟棄的幻象裝備。\0	icon.etc_talisman_event_i00
1030343	變身卷軸-亞納	u,在30分鐘內可將肉身變為亞納的卷軸。無法交易、丟棄或登記在個人商店，但可以保管在個人倉庫。\0	icon.etc_trans_4f_s_b_01
1030344	變身卷軸-札肯	u,在30分鐘內可將肉身變為札肯的卷軸。無法交易或丟棄。無法交易、丟棄或登記在個人商店，但可以保管在個人倉庫。\0	icon.etc_trans_4f_s_b_01
1030345	薄暮怪力	u,在20分鐘內增加物理攻擊力15%、魔法攻擊力20%、移動速度10。\0	icon.Item_Normal129
1030346	薄暮致命	u,在20分鐘內增加物理致命攻擊率15、魔法致命攻擊率2、移動速度10。將施予敵人的近身物理攻擊技能的傷害5%吸取為HP。\0	icon.Item_Normal130
1030347	薄暮不敗	u,在20分鐘內增加攻擊速度最大值20%、施法速度20%、移動速度20。\0	icon.Item_Normal131
1030348	薄暮貴族強化石10個/組	u,內裝10個薄暮貴族強化石的壓縮包。\0	icon.etc_pi_gift_box_i04
1030349	巨人的經典-熟練篇組	u,內裝1個巨人的經典-熟練篇的壓縮包。\0	icon.etc_pi_gift_box_i04
1030350	友情的王朝金屬盔甲套裝組-S級(限時90日)	u,使用的話，就可得到友情的王朝金屬盔甲套裝。若不使用的話，將會在90天以後自動消失。無法交易或丟棄的道具，但可以保管在個人倉庫。\0	icon.etc_treasure_box_i07
1030351	友情的王朝皮盔甲套裝組-S級(限時90日)	u,使用的話，就可得到友情的王朝皮盔甲套裝。若不使用的話，將會在90天以後自動消失。無法交易或丟棄的道具，但可以保管在個人倉庫。\0	icon.etc_treasure_box_i06
1030352	友情的王朝外衣套裝組-S級(限時90日)	u,使用的話，就可得到友情的王朝外衣套裝。若不使用的話，將會在90天以後自動消失。無法交易或丟棄的道具，但可以保管在個人倉庫。\0	icon.etc_treasure_box_i01
1030353	友情的王朝飾品組(限時90日)	u,使用的話，就可得到友情的王朝飾品組。若不使用的話，將會在90天以後自動消失。無法交易或丟棄的道具，但可以保管在個人倉庫。\0	icon.etc_treasure_box_i01
1030354	整形藥水禮盒	u,內裝一組整形藥水。\0	icon.etc_pi_gift_box_i04
1030355	染髮藥水禮盒	u,內裝一組染髮藥水。\0	icon.etc_pi_gift_box_i04
1030356	造型藥水禮盒	u,內裝一組造型藥水。\0	icon.etc_pi_gift_box_i04
1030357	武器強化結晶卷軸-A級	u,適合強化A級武器的結晶卷軸，可安全強化至+35。\0	icon.etc_scroll_of_enchant_weapon_i01
1030358	防具強化結晶卷軸-A級	u,適合強化A級防具的結晶卷軸，可安全強化至+20。\0	icon.etc_scroll_of_enchant_armor_i01
1030359	武器強化結晶卷軸-S級	u,適合強化S級武器的結晶卷軸，可安全強化至+35。\0	icon.etc_scroll_of_enchant_weapon_i01
1030360	防具強化結晶卷軸-S級	u,適合強化S級防具的結晶卷軸，可安全強化至+20。\0	icon.etc_scroll_of_enchant_armor_i01
